,,,,,,,,,,,,,,,,,,,
1,Unit Listing,,,,,,,,Specifications,,,,,,,,Manufacturer,,Notes
2,Brand,Series,,,Wattages + Links,Tier,Year,,Size,ATX Ver.,Input Range,Modularity,Efficiency,Topology,,,ODM,Platform Code,Notes
358,,,,"2025 (""ATX 3.1"")",650-1000W,B+,2025,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,HEC,Custom,650W has 300W 12V-2x6 cable. Poor 3.3V transient response. All use Hong Hua rifle-bearing fans. Y-shaped fan grille perforations.
359,,RM-i,,,650W,A+,2015,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,CWT,Custom,Grey label; RM-x v1 with digital monitoring features
360,,,,,750/850/1000W,A+,2015,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,CWT,Custom,
361,,RM-i Special Edition,,,1000W,A+,2016,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,CWT,Custom; same as ^,"10th anniversary, only 100 units, white casing, white LEDs inside. Otherwise identical to standard RM1000i."
362,,RM-x,2015,Black,550/650W,A,2015,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,CWT,Custom,"v1, 160mm long"
363,,,,,750/850W,A,2015,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,CWT,Custom,"v1, 180mm long"
364,,,,,1000W,A,2015,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,CWT,Custom,"v1, 180mm long. Production continued far past other 2015 RM-x units as the 2018 revision has no 1kW variant."
365,,,,White,750/850W,A,2015,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,CWT,Custom,"v1, 180mm long, individually sleeved cables; custom Corsair rifle bearing fan."
366,,,2018 / v2,Black,550-850W,A,2018,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,CWT,Custom,"v2, 160mm long, doesn't have 1000W version; custom Corsair rifle bearing fan."
367,,,,White,750/850W,A,2018,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,CWT,Custom,"v2, 160mm long; custom Corsair rifle bearing fan."
368,,,2021,,650/750/850W,A+,2021,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,CWT,Custom,"160mm length, Sunon Magnetic Levitation (Maglev) bearing fan."
369,,,,,1000W,A+,2021,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,CWT,Custom,"180mm length, Sunon Magnetic Levitation (Maglev) bearing fan."
370,,,2024 (ATX 3.1),,750/850/1000W,A+,2024,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,CWT,Custom,160mm length
371,,,Shift,,750-1200W,A+,2023,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,CWT,Custom,Modular inputs on side of PSU rather than the rear. Use caution and check case clearances: see Jon Gerow's list of cases (archive)
372,,RM,2019 (Gray Label),,650/750/850W,B+,2019,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,CWT,Custom,Grey label; costdown RM-x. Out-of-spec 3.3V transients. Hong Hua rifle bearing fan. Meets all other tier A requirements.
373,,,2021,Black,650/750/850W,B+,2021,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,CWT,Custom,Triangular fan grille perforations. Hong Hua rifle bearing fan. Performance is assumed to be the same as 2019 version.
374,,,,White,750/850W,B+,2021,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,CWT,Custom,Triangular fan grille perforations. Hong Hua rifle bearing fan. Performance is assumed to be the same as 2019 version.
375,,,2023 (Black Label),,650W,B+,2023,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,HEC,Custom,"140mm long. Same design as the 2023 RMe, without an included 12VHPWR cable."
376,,SF,Gold,,450/600W,A,2016,,SFX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,Great Wall,Custom,Standard cables
377,,,Platinum 2019,,450/600/750W,A,2019,,SFX,ATX 2.x,Full,Full,P,LLC,SR,DC-DC,Great Wall,Modified SF Gold platform,"Braided cables, some units manufactured between Oct. 2019 to Mar. 2020 (lot codes 194448xx to 201148xx) recalled for potential failures."
378,,,Platinum 2024 (ATX 3.1),,750/850/1000W,A+,2024,,SFX,ATX 3.x,Full,Full,P,LLC,SR,DC-DC,Great Wall,Custom,"Class-leading performance, excellent build quality, relatively quiet for the capacity."
379,,SF-L,,,850/1000W,A,2023,,SFX-L,ATX 3.x,Full,Full,P,LLC,SR,DC-DC,Great Wall,Custom,
380,,TX (Black Label),,,750-1200W,B,2024,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,Great Wall,modified GW-ATXBL,Black label; China only
381,,TX-m,2017 (Gray Label),,550-850W,B+,2017,,ATX,ATX 2.x,Full,Semi,G,LLC,SR,DC-DC,Great Wall,modified GW-ATXBL,Gray label. Custom Corsair rifle bearing fan.
382,,,2021 (Black Label),,550/650/750W,B+,2021,,ATX,ATX 2.x,Full,Semi,G,LLC,SR,DC-DC,Great Wall,Custom,Gray label. Custom Corsair rifle bearing fan.
383,,Vengeance,,Bronze,400/500W,C,2016,,ATX,ATX 2.x,Full,No,B,DF,SR,DC-DC,CWT,Custom,Gray label
384,,,,,550/650W,C,2016,,ATX,ATX 2.x,Full,Semi,B,DF,SR,DC-DC,CWT,Custom,Gray label
385,,,,Silver,650/750W,B,2018,,ATX,ATX 2.x,Full,Semi,S,LLC,SR,DC-DC,HEC,Custom,Gray label; toggleable per-cable OCP.
386,,VS,Gray Label,,400/500/600W,D,2016,,ATX,ATX 2.x,Full,No,W,DF,PR,GR,HEC,,Grey label
387,,,,,450/550/650W,E,2017,,ATX,ATX 2.x,Full,No,W,DF,PR,GR,HEC,,"Grey label; OCP doesn't work properly, allowing the voltages to fall out of spec, very poor ripple suppression on 5V, failed transient testing on 3.3V"
388,,,Black Label,,500/600W,D,2020,,ATX,ATX 2.x,Full,No,W,DF,PR,GR,HEC,,
389,,,,,,,,,,,,,,,,,,,
390,Cougar,Atlas,,2023,600/650/750W,C-,2023,,ATX,ATX 2.x,Full,No,B,DF,SSR,DC-DC,XHY,2107,Mediocre quality capacitors.
391,,BXM,,,700/850W,C,2020,,ATX,ATX 2.x,Full,Semi,B,DF,SR,DC-DC,HEC,,
392,,GEX,-,,1050W,B,2021,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,XHY,1709,
393,,,,,650/750/850W,B,2021,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,XHY,1908,
394,,,X2 (ATX 3.0),,850/1000W,B+,2023,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,XHY,2205,
395,,GX-F,-,,550/650/750W,A,2018,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,HEC,TPK,
396,,,Aurum,,550/650/750W,A-,2018,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,HEC,TPK,Costdown GX-F
397,,GX-S (2016),,,450-750W,C,2016,,ATX,ATX 2.x,Full,No,G,LLC,SR,DC-DC,High Power,Astro Lite HPM,
398,,LX,,,600W,C,2016,,ATX,ATX 2.x,Full,Full,B,DF,SR,DC-DC,HEC,,
399,,LLC,,,750W,B+,2019,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,HEC,TPK,Appears to be limited to the Chinese market.
400,,Polar,,X2 (ATX 3.0),1050/1200W,A,2023,,ATX,ATX 3.x,Full,Full,P,LLC,SR,DC-DC,XHY,1709 upd. to ATX 3.0/3.1,
401,,,,-,1050/1200W,A,2022,,ATX,ATX 2.x,Full,Full,P,LLC,SR,DC-DC,XHY,1709,
402,,STE,,,400/500/600W,E,2019,,ATX,ATX 2.x,230V,No,W,DF,PR,GR,HEC,,
403,,STX,,,350-750W,E,2016,,ATX,ATX 2.x,230V,No,W,DF,PR,GR,HEC,,
404,,VTC,,,400/500/600W,E,2019,,ATX,ATX 2.x,Full,No,W,DF,PR,GR,HEC,,
405,,VTE,-,,400/500/600W,C-,2017,,ATX,ATX 2.x,Full,No,B,DF,PR,DC-DC,HEC,,
406,,,X2,,600-750W,C-,2021,,ATX,ATX 2.x,Full,No,B,DF,PR,DC-DC,CE Link,,
407,,,X2 ver.2,,600-750W,C,2022,,ATX,ATX 2.x,Full,No,B,DF,SSR,DC-DC,XHY,2107,
408,,VTK,,,550W,E,2021,,ATX,ATX 2.x,Full,No,B,DF,PR,GR,Unknown,,
409,,VTX,,,400-700/450W,E,2016,,ATX,ATX 2.x,Full,No,B,DF,PR,GR,HEC,,
410,,XTC,,,400-650/750W,E,2021,,ATX,ATX 2.x,230V,No,W,DF,PR,GR,CE Link,,
411,,,,,,,,,,,,,,,,,,,
412,DarkFlash,GS Bronze,,,550/650/750W,C,2021,,ATX,ATX 2.x,Full,Full,B,DF,SR,DC-DC,Guang Hai,GH356,"Platform is certified for Gold, might have only hit Bronze due to modular interface"
413,,Perfectmost (PMT),,,650/750/850W,B-,2024,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,Zhong Yuan,ZY009,"850W model demonstrates very poor excursion response in the 160% excursion test. Also, OCP, OPP, and OVP are set high on all rails."
414,,Upmost (UPT),,,1250W,B,2024,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,Zhong Yuan,ZY004,Poor ripple suppression on 12V.
415,,Warcraft (WA),,,600/700/800W,E,2023,,ATX,ATX 2.x,230V,No,N,DF,PR,GR,Guang Hai?,,"OEM and platform is unconfirmed, unit is basically e-waste though."
416,,,,,,,,,,,,,,,,,CWT,,
417,DeepCool (GamerStorm),Aurora,DA,,500/600/700W,E,2015,,ATX,ATX 2.x,Full,No,B,DF,PR,GR,CWT,GPM,
418,,,DA-M,,500/600W,E,2021,,ATX,ATX 2.x,Full,No,B,DF,PR,GR,CWT,GPM,
419,,Explorer,DE,,530W,F,2017,,ATX,ATX 2.x,230V,No,N,DF,PR,GR,Unknown,,"Extremely low 12V line output relative to total claimed capacity, basically only a 350W PSU; no 80+ or Cybenetics rating."
420,,Nova,DN,,450-650W,E,2015,,ATX,ATX 2.x,230V,No,W,DF,PR,GR,CWT,GPT,Net graded to Tier E due to it being group regulated.
421,,"Gamer
Storm",DQ-M,-,650/750/850W,A-,2018,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,CWT,GPU,"One EPS cable shares the same 12V rail with a PCIe cable, low hold up time, transient on the 3.3V rail/OPP needs tuning."
422,,,,V2L,850W,B-,2020,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,CWT,GPX,A few samples of the base platform died when subjected to sub-90VAC stress tests per JonnyGuru. Not suggested for use under 120VAC if you live in an area with frequent brownouts. Miserably fails in all of Aris' 3.3V transient response testing. Low quality MOSFETs used.
423,,,,,750W,B,2020,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,CWT,GPX,
424,,,,,650W,B,2020,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,CWT,GPX,
425,,PF,,,700/750W,E,2023,,ATX,ATX 2.x,230V,No,W,DF,SR,DMA,Helly,ATX-0600,"Doesn't claim necessary protections, unknown components such as the capacitors."
426,,,,,350-650W,E,2022,,ATX,ATX 2.x,230V,No,W,DF,PR,GR,Helly,ATX-0200,"Doesn't claim necessary protections, unknown components such as the capacitors."
427,,PK-D,,,450-800W,C,2022,,ATX,ATX 2.x,Full,No,B,DF,PR,DC-DC,CWT,GPG,Internals appear to be variable based on region/batch.
428,,PL-D,,,550W,C-,2024,,ATX,ATX 3.x,Full,No,B,DF,SR,DC-DC,Helly,ATX-0700T,"Subpar component quality, with highly set protections and OOS 3.3V transient response. Not quite ATX 3.X due to failing low load efficiency."
429,,,,,650W,C-,2024,,ATX,ATX 3.x,Full,No,B,DF,SR,DC-DC,Helly,ATX-0700T,"Subpar component quality, with poorly tuned protections, 5V OCP incorrectly set allows for >135mV of ripple. OOS 3.3V transient response."
430,,,,,750/800W,C-,2024,,ATX,ATX 3.x,Full,No,B,DF,SR,DC-DC,Helly,ATX-0700T,"Subpar component quality, with highly set protections and OOS 3.3V transient response."
431,,PM-D,,,500-850W,B-,2021,,ATX,ATX 2.x,Full,No,G,LLC,SR,DC-DC,CWT,GPW,Protections are found to be working in GPW based units in similar or identical configurations.
432,,PN-D,,,550-850W,B-,2024,,ATX,ATX 3.x,Full,No,G,LLC,SR,DC-DC,CWT,GPW,Can come in white variants. Protections need tuning. ATX 3.0 refresh of the PM-D.
433,,PN-M,,,650-850W,B,2024,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,CWT,GPX ATX 3.0,"Can come in white variants. Mediocre fan, no SCP on -12V rail, which isn't used in modern PCs. Avoid if using very old hardware."
434,,,,,1000/1200W,B-,2024,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,CWT,CSZ costdown,"OCP is set way too high on the minor rails, which led to failure of the unit during Aris' testing. Detier to B- unless verified fixed."
435,,PQ-G,,,750/850W,C+,2024,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,Helly,ATX-0500GB,Sleeve bearing fan.
436,,,,,1000/1200W,A-,2024,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,Helly,ATX-0800GB,"Protections need tuning, 5VSB regulation doesn't quite qualify for A tier."
437,,PQ-M,,-,650-1000W,A,2021,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,Seasonic,Focus GX,
438,,,,V2,750/850/1000W,A-,2025,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,Seasonic,Focus GX ATX 3.1,"Very high inrush current, poorly tuned protections on the minor rails; otherwise decent electrical performance."
439,,PX,,G,850/1000/1200W,A+,2023,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,CWT,CSZ,850W model can come in white.
440,,,,P,1000/1300W,A+,2023,,ATX,ATX 3.x,Full,Full,P,LLC,SR,DC-DC,CWT,CTT,Semi-digital. Outstanding performance per Aris' review.
441,,,,,,,,,,,,,,,,,,,
442,Endorfy,Elementum E2,,(OEM/SI),350/450W,E,2018,,ATX,ATX 2.x,230V,No,W,DF,PR,GR,CWT,GPB,
443,,,,Retail,550W,E,2018,,ATX,ATX 2.x,230V,No,W,DF,PR,GR,CWT,GPB,
444,,Supremo Gold,,L2,550/650W,F,2016,,ATX,ATX 2.x,Full,No,G,LLC,SR,DC-DC,SAMA,Forza Gold,Supremo Gold made for non-modularity. No OCP to be found in testing nor claimed.
445,,,,M2,550W,E,2016,,ATX,ATX 2.x,Full,Semi,G,LLC,SR,DC-DC,SAMA,Forza Gold,"Supremo Gold made for semi-modularity, necessary protections aren't claimed."
446,,,,FM2,650/750W,E,2017,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,SAMA,Forza Gold,"Supremo Gold made for full-modularity, necessary protections aren't claimed."
447,,,,FM5,650-1000W,C,2023,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,SAMA,920MC,"Platform visually appears identical to the 916MC platform used in the SAMA XF, which died during OCP testing per LTT Labs. Proceed with caution."
448,,,,FM6,850/1000W,B-,2025,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,SAMA,920MC upd. to ATX 3.1,The OCP and OPP triggering points are set way too high on all rails.
449,,,,,,,,,,,,,,,,,,,
450,Enermax,CyberBron,,-,500/600/700W,E,2020,,ATX,ATX 2.x,Full,No,B,DF,PR,GR,CWT,GPM,
451,,,,III,750/850W,C,2025,,ATX,ATX 2.x,Full,No,B,DF,SR,DC-DC,Jiumeng,JM-670,"ATX 3.1 is claimed, but the unit fails to meet the spec due to poor ATX 3.1 excursion response. Treat as ATX 2.x."
452,,Digifanless,,,550W,B+,2015,,ATX,ATX 2.x,Full,Full,P,LLC,SR,DC-DC,CWT,Custom (Enermax designed),"Claims necessary protections but weren't evaluated in Aris' testing, OTP was kicked in during voltage regulation testing."
453,,MarbleBron,,,550-850W,C-,2020,,ATX,ATX 2.x,Full,Semi,B,DF,PR,DC-DC,SANR,S-D,850W uses ARGB fan + housing and comes in black and white models. 3 year warranty.
454,,MaxPro II,,,400-700W,E,2019,,ATX,ATX 2.x,230V,No,W,DF,PR,GR,SANR,,Limited information.
455,,MaxTytan,,,750/800W,A-,2017,,ATX,ATX 2.x,Full,Full,T,LLC,SR,DC-DC,CWT,CST,Overall performance is not that great despite a capable platform. Platform just needs to be tuned better.
456,,,,,1050/1250W,A-,2018,,ATX,ATX 2.x,Full,Full,T,LLC,SR,DC-DC,CWT,CST,
457,,PlatiGemini,,,1200W,A,2024,,ATX,ATX 3.x,Full,Full,P,LLC,SR,DC-DC,RSY,Custom,OCP originally set way too high; fixed in later reviews from July 2024. Excellent electrical performance. ATX 3.1 and ATX12VO compatible.
458,,Platimax D.F.,,,500/600W,E,2013,,ATX,ATX 2.x,Full,Full,P,LLC,SR,DC-DC,Fortech,CM-GP600P,"No OCP on 12V, OCP on the minor rails and OPP are both set way too high to be effective, no OTP, poor build quality."
459,,,,,750-1200W,B+,2017,,ATX,ATX 2.x,Full,Full,P,LLC,SR,DC-DC,CWT,CST,"Solid electrical performance, however let down by poorly modulated protections and mediocre ripple performance."
460,,RevoBron,,-,500/600/700W,C-,2018,,ATX,ATX 2.x,Full,Semi,B,DF,SSR,DC-DC,CWT,CSB,"Single EPS cable, failing or near failing 3.3V transient response, hold-up time not within ATX specifications."
461,,,,ED2,500/600/700W,C-,2020,,ATX,ATX 2.x,Full,Semi,B,DF,SSR,DC-DC,CWT,CSB,"Same internals as the Revobron, simply a 2.0 refresh."
462,,Revolution,,SFX,650W,C+,2017,,SFX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,CWT,CSN,"Decent electrical performance let down by poor transient response, a sleeve bearing fan, and other miscellaneous problems."
463,,,,ATX 3.0,1000/1200W,A,2023,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,CWT,CSZ,"No performance data, however platform is well reviewed with protections working in similar configs."
464,,,,X'T,430-730W,E,2014,,ATX,ATX 2.x,Full,Semi,G,DF,SR,DC-DC,CWT,DSAIV,Doesn't claim necessary protections (IC doesn't support over current either). Somewhat outdated.
465,,,,X'T II,450-750W,C+,2016,,ATX,ATX 2.x,Full,Semi,G,LLC,SR,DC-DC,CWT,GPS,Single EPS cable. Great electrical performance but OTP is not claimed.
466,,,,D.F. 12,750/850W,A-,2024,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,RSY,XM01,122mm depth (extremely compact.)
467,,,,D.F. 2,850/1050/1200W,A,2023,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,SANR,SM-Z,ATX 3.0 compliant; uses dual 8-pin to 12VHPWR.
468,,,,D.F. X,850/1050/1200W,B,2023,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,SANR,SM-Z,"Transient response doesn't quite make it A tier, no direct protections testing."
469,,,,,1350/1650W,B,2023,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,SANR,S-1700M A-J,Limited testing; rating could be higher once additional testing exists.
470,,,,D.F.,650W,A-,2019,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,CWT,GPU,"Ripple on 12V was shown at 52mV, all other requirements for tier A proper are met."
471,,,,,750/850W,A,2019,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,CWT,GPU,
472,,,,,,,,,,,,,,,,,,,
473,EVGA,B Series,B2,,750/850W,C,2014,,ATX,ATX 2.x,Full,Semi,B,LLC,SR,DC-DC,Super Flower,Golden Green,
474,,,B3,,450/550/650W,C-,2018,,ATX,ATX 2.x,Full,Semi,B,LLC,SR,DC-DC,Super Flower,Leadex Super Bronze Pro,OCP on 12V doesnt exist. OPP is set too high. Sleeve bearing fan.
475,,,,,750/850W,C-,2017,,ATX,ATX 2.x,Full,Semi,B,LLC,SR,DC-DC,Super Flower,Leadex Super Bronze Pro,Died after OPP testing. OTP claimed but not tested. Sleeve bearing fan. Failed 3.3V transient testing
476,,,B5,,550-850W,B,2022,,ATX,ATX 2.x,Full,Full,B,LLC,SR,DC-DC,HEC,Costdown GT,Inconclusive
477,,,BR,,450-700W,C-,2022,,ATX,ATX 2.x,Full,No,B,DF,PR,DC-DC,HEC,,"No OCP on 12V. High RMA rate due to MLCC cracks, similar to other HEC-built EVGA PSUs"
478,,,BT,,450W,D,2018,,ATX,ATX 2.x,Full,No,B,DF,PR,GR,RSY,,"Platform is an old Super Flower design, but is actually produced by RSY."
479,,,BP,,460-710W,C,2020,,ATX,ATX 2.x,Full,No,B,DF,SSR,DC-DC,Andyson,Q8,
480,,,BQ,,500/600/700W,C,2018,,ATX,ATX 2.x,Full,Semi,B,DF,SSR,DC-DC,Andyson,Q8,
481,,,,,650/750W,C,2018,,ATX,ATX 2.x,Full,Semi,B,DF,PR,DC-DC,HEC,,
482,,,,,850W,E,2016,,ATX,ATX 2.x,Full,Semi,B,DF,PR,DC-DC,HEC,,OCP allows out-of-spec output on 3.3V per Aris' review. Non-functional OTP. Very loud (50dBA @ full load).
483,,,BV,,450/500/600W,E,2018,,ATX,ATX 2.x,Full,No,B,DF,PR,GR,HEC,,
484,,G Series,GE,,500-800W,B+,2023,,ATX,ATX 2.x,Full,No,G,LLC,SR,DC-DC,High Power,NO-817,
485,,,GD,2017 - V1,550/650W,B,2017,,ATX,ATX 2.x,Full,No,G,ACRF,SR,DC-DC,FSP,Raider II high-wattage,See notes under Series name for how to identify each version.
486,,,,2019 - R1/V1,500/600/700W,C,2019,,ATX,ATX 2.x,Full,No,G,DF,SR,DC-DC,FSP,Raider II (Hydro GE)-ish,
487,,,,2019 - B1,500/600/700W,B-,2019,,ATX,ATX 2.x,Full,No,G,LLC,SR,DC-DC,Andyson,PAD07,
488,,,,2022 - R3,500/600/700W,B+,2022,,ATX,ATX 2.x,Full,No,G,LLC,SR,DC-DC,High Power,NO-817A,
489,,,,2022 - BC,500/600/700W,B+,2022,,ATX,ATX 2.x,Full,No,G,LLC,SR,DC-DC,High Power,NO-817A,
490,,N1,,,400W,F,2018,,ATX,ATX 2.x,Full,No,N,DF,PR,GR,HEC,,"PPFC, e-waste."
491,,,,,550/650/750W,F,2018,,ATX,ATX 2.x,Full,No,N,DF,PR,GR,HEC,,"Malfunctioning safety protections (OCP/OPP) allowing for OOS operation and catastrophic failure, 20AWG PCIe."
492,,M1 (Mining),,,1300W,C,2021,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,Andyson,R8,No review data.
493,,SuperNOVA,FTW,,850/1000W,B+,2023,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,High Power,NO-826,Tier A performance (albeit barely) but only a 3 year warranty since EVGA might go under.
494,,,G+ (G1+),,650/750W,B-,2018,,ATX,ATX 2.x,Full,Full,G,ACRF,SR,DC-DC,FSP,Raider II high-wattage-ish,PWR_OK signal doesn't function correctly. Poor transient response on the minor rails.
495,,,,,850/1000W,B,2018,,ATX,ATX 2.x,Full,Full,G,ACRF,SR,DC-DC,FSP,G1/G1+ high-wattage,
496,,,GA,,550-850W,B,2021,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,Andyson,PAD01,"Double ball bearing fan and good build quality, but protections need tuning. Low overall performance."
497,,,GQ,,650/750W,C,2016,,ATX,ATX 2.x,Full,Full,G,ACRF,SR,DC-DC,FSP,Raider II high-wattage,
498,,,,,850/1000W,B,2016,,ATX,ATX 2.x,Full,Full,G,ACRF,SR,DC-DC,FSP,G1/G1+ high-wattage,
499,,,GM,,450/550/650W,B,2019,,SFX,ATX 2.x,Full,Full,G,ACRF,SR,DC-DC,FSP,Custom,"Decent overall performance despite being ACRF on the primary side, double ball bearing fan."
500,,,,,750/850W,B,2021,,SFX,ATX 2.x,Full,Full,G,ACRF,SR,DC-DC,FSP,Custom,"Decent overall performance despite being ACRF on the primary side, FDB fan instead of DBB as in the lower wattage GM models."
501,,,G2,,550-850W,A,2014,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,Super Flower,Leadex Gold,Old but gold (no pun intended.)
502,,,,,1000/1300W,A,2013,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,Super Flower,Leadex Gold GT,
503,,,,,1600W,A,2014,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,Super Flower,Leadex Gold GTX,
504,,,G2L,,750/850W,A,2016,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,Super Flower,Leadex Gold,"Same internals as the original G2, but with white LEDs (yes, really.)"
505,,,G3,,550-1000W,A-,2017,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,Super Flower,Leadex III Gold,
506,,,G5,,650-1000W,B+,2019,,ATX,ATX 2.x,Full,Full,G,ACRF,SR,DC-DC,FSP,Upgraded G1+ high-wattage,
507,,,G6,,850/1000W,A+,2021,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,Seasonic,Custom (Focus GX heavily mod.),
508,,,,,650/750W,A,2021,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,Seasonic,Custom (Focus GX heavily mod.),
509,,,G7,,650-1000W,A+,2022,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,FSP,Hydro PTM X Pro,
510,,,GT,,550-1000W,B-,2020,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,HEC,Modified TPK,"High RMA rate due to MLCC cracks, similar to other HEC-built EVGA PSUs. Showed up on B-Stock in huge quantities for dirt cheap c. 2022."
511,,,P+,,1300/1600W,B+,2022,,ATX,ATX 2.x,Full,Full,P,ACRF,SR,DC-DC,FSP,Upgraded G1+ high-wattage,Poor transient response on 3.3V.
512,,,P2,,650/750/850W,A,2016,,ATX,ATX 2.x,Full,Full,P,LLC,SR,DC-DC,Super Flower,Leadex Platinum,
513,,,,,1000/1200W,A,2014,,ATX,ATX 2.x,Full,Full,P,LLC,SR,DC-DC,Super Flower,Leadex Platinum GT,
514,,,,,1600W,A,2015,,ATX,ATX 2.x,Full,Full,P,LLC,SR,DC-DC,Super Flower,Leadex Platinum GTX,
515,,,P5,,650-1000W,B+,2021,,ATX,ATX 2.x,Full,Full,P,ACRF,SR,DC-DC,FSP,Upgraded G1+ high-wattage,Further upgrades over the G5 for Platinum efficiency.
516,,,P6,,850/1000W,A+,2021,,ATX,ATX 2.x,Full,Full,P,LLC,SR,DC-DC,Seasonic,Custom (Focus GX heavily mod.),
517,,,,,650/750W,A,2021,,ATX,ATX 2.x,Full,Full,P,LLC,SR,DC-DC,Seasonic,Custom (Focus GX heavily mod.),
518,,,PQ,,750/850/1000W,B,2018,,ATX,ATX 2.x,Full,Semi,P,ACRF,SR,DC-DC,FSP,G1/G1+ high-wattage,
519,,,T2,,750/850/1000W,A+,2016,,ATX,ATX 2.x,Full,Full,T,LLC,SR,DC-DC,Super Flower,Leadex Titanium GT,
520,,,,,1600W,A+,2016,,ATX,ATX 2.x,Full,Full,T,LLC,SR,DC-DC,Super Flower,Leadex Titanium GTX,
521,,W Series,W1,,500/600/700W,F,2016,,ATX,ATX 2.x,Full,No,W,DF,PR,GR,HEC,Costdown EVGA B1,Malfunctioning safety protections that cause the unit to experience catastrophic failure and blow up. Fire hazard.
522,,,W2,,500/600/700W,E,2020,,ATX,ATX 2.x,230V,No,W,DF,PR,GR,HEC,,
523,,,W3,,500/600/700W,E,2021,,ATX,ATX 2.x,Full,No,W,DF,PR,GR,Andyson,Costdown Z8,
524,,,,,,,,,,,,,,,,,,,
525,Fractal Design,Anode,,SFX,450W,C,2021,,SFX,ATX 2.x,Full,No,B,DF,SR,DC-DC,FSP,FSP450-50SAC,
526,,,,Bronze,550/650/750W,C,2022,,ATX,ATX 2.x,Full,Semi,B,DF,SSR,DC-DC,High Power,NO-823F,
